Data_Category,Model,GPU,Precision,Task_Type,Metric_Name,Value,Value_Std,Unit,Source_Table,Notes
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4070,INT8,Text Generation,ROUGE-1,0.51,0.12,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4070,FP16,Text Generation,ROUGE-L,0.68,0.09,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4070,INT8,Text Generation,ROUGE-L,0.35,0.11,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4080,FP16,Text Generation,BLEU,0.32,0.07,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4080,INT8,Text Generation,BLEU,0.15,0.08,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4080,FP16,Text Generation,ROUGE-1,0.72,0.10,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4080,INT8,Text Generation,ROUGE-1,0.42,0.13,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4080,FP16,Text Generation,ROUGE-L,0.68,0.09,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,LLaMA-2-7B-Chat,RTX4080,INT8,Text Generation,ROUGE-L,0.32,0.12,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4070,FP16,Text Generation,BLEU,0.28,0.08,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4070,INT8,Text Generation,BLEU,0.13,0.07,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4070,FP16,Text Generation,ROUGE-1,0.69,0.11,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4070,INT8,Text Generation,ROUGE-1,0.49,0.12,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4070,FP16,Text Generation,ROUGE-L,0.63,0.10,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4070,INT8,Text Generation,ROUGE-L,0.30,0.11,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4080,FP16,Text Generation,BLEU,0.28,0.08,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4080,INT8,Text Generation,BLEU,0.12,0.08,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4080,FP16,Text Generation,ROUGE-1,0.69,0.11,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4080,INT8,Text Generation,ROUGE-1,0.37,0.13,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4080,FP16,Text Generation,ROUGE-L,0.63,0.10,score,Table 9,Aggregate across 50 prompts
TEXT_METRICS,Qwen1.5-1.8B-Chat,RTX4080,INT8,Text Generation,ROUGE-L,0.25,0.12,score,Table 9,Aggregate across 50 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4070,FP16,Code Generation,BLEU,0.31,0.09,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4070,INT8,Code Generation,BLEU,0.18,0.10,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4070,FP16,Code Generation,ROUGE-1,0.71,0.11,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4070,INT8,Code Generation,ROUGE-1,0.52,0.13,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4070,FP16,Code Generation,ROUGE-L,0.67,0.10,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4070,INT8,Code Generation,ROUGE-L,0.45,0.12,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4070,INT8,Code Generation,Syntactic Validity,93.0,0.0,percent,Table 13,Structurally valid code
CODE_METRICS,LLaMA-2-7B-Chat,RTX4080,FP16,Code Generation,BLEU,0.31,0.09,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4080,INT8,Code Generation,BLEU,0.19,0.10,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4080,FP16,Code Generation,ROUGE-1,0.71,0.11,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4080,INT8,Code Generation,ROUGE-1,0.54,0.12,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4080,FP16,Code Generation,ROUGE-L,0.67,0.10,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4080,INT8,Code Generation,ROUGE-L,0.48,0.11,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,LLaMA-2-7B-Chat,RTX4080,INT8,Code Generation,Syntactic Validity,94.0,0.0,percent,Table 13,Structurally valid code
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4070,FP16,Code Generation,BLEU,0.27,0.08,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4070,INT8,Code Generation,BLEU,0.11,0.08,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4070,FP16,Code Generation,ROUGE-1,0.68,0.10,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4070,INT8,Code Generation,ROUGE-1,0.43,0.12,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4070,FP16,Code Generation,ROUGE-L,0.62,0.09,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4070,INT8,Code Generation,ROUGE-L,0.35,0.11,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4070,INT8,Code Generation,Syntactic Validity,87.0,0.0,percent,Table 13,Structurally valid code
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4080,FP16,Code Generation,BLEU,0.27,0.08,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4080,INT8,Code Generation,BLEU,0.12,0.09,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4080,FP16,Code Generation,ROUGE-1,0.68,0.10,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4080,INT8,Code Generation,ROUGE-1,0.45,0.13,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4080,FP16,Code Generation,ROUGE-L,0.62,0.09,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4080,INT8,Code Generation,ROUGE-L,0.38,0.12,score,Table 13,Aggregate across 15 prompts
CODE_METRICS,Qwen1.5-1.8B-Chat,RTX4080,INT8,Code Generation,Syntactic Validity,89.0,0.0,percent,Table 13,Structurally valid code
